cong,icpsr,statecode,state,party,name,ideo,role,x2,loglike,nvotes,classerrs,gmp,district
56,9277,3,MASSACH,100,THAYER,-0.136,,0.097,-38.30639,83,21,0.63,3
56,9972,3,MASSACH,200,WEYMOUTH,0.612,,-0.791,-5.2557,55,2,0.909,4
56,5350,3,MASSACH,200,KNOX,0.6,,0.353,-11.97373,90,6,0.875,5
56,6617,3,MASSACH,200,MOODY  W.A.,0.707,,0.707,-19.08504,122,12,0.855,6
56,7952,3,MASSACH,200,ROBERTS,0.45,,-0.393,-12.22115,97,5,0.882,7
56,6130,3,MASSACH,200,MCCALL,0.153,,-0.052,-48.66491,75,23,0.523,8
56,3182,3,MASSACH,100,FITZGERALD,-0.218,,-0.212,-31.66293,85,15,0.689,9
56,6841,3,MASSACH,100,NAPHEN,-0.204,,-0.307,-17.96211,60,8,0.741,10
56,8801,3,MASSACH,200,SPRAGUE,0.584,,0.617,-7.32514,73,3,0.905,11
56,5800,3,MASSACH,200,LOVERLING,0.432,,-0.74,-10.0409,91,6,0.896,12
56,3794,3,MASSACH,200,GREENE  W.S,0.432,,-0.239,-9.87818,112,2,0.916,13
56,2070,23,MICHIGA,200,CORLISS,0.476,,-0.015,-9.17872,109,5,0.919,1
56,8630,23,MICHIGA,200,SMITH  H.C.,0.216,,0.449,-22.86897,93,11,0.782,2
56,3472,23,MICHIGA,200,GARDNER  W.,0.532,,0.234,-14.26067,99,8,0.866,3
56,3989,23,MICHIGA,200,HAMILTON,0.396,,0.228,-10.91284,124,4,0.916,4
56,8698,23,MICHIGA,200,SMITH  W.A.,0.451,,0.227,-14.02262,71,9,0.821,5
56,8683,23,MICHIGA,200,SMITH  S.W.,0.374,,0.255,-11.43112,83,7,0.871,6
56,9908,23,MICHIGA,200,WEEKS,0.55,,0.642,-5.71834,86,3,0.936,7
56,3275,23,MICHIGA,200,FORDNEY,0.643,,0.766,-12.35305,94,5,0.877,8
56,734,23,MICHIGA,200,BISHOP,0.489,,0.872,-23.11264,101,11,0.795,9
56,2224,23,MICHIGA,200,CRUMP,0.461,,0.238,-5.94804,70,2,0.919,10
