"cong","icpsr","statecode","state","name","ideo","role","x2","leader","party","last_ideo","cong_ideo_mean","party_del","last_cong_ideo_mean","ideo_dif"
56,1006,24,"OHIO","BRENNER",-0.306,"",-0.045,"N","D",NA,-0.440157232704402,NA,NA,-0.134157232704402
56,3698,24,"OHIO","GORDON",-0.285,"",-0.488,"N","D",NA,-0.440157232704402,NA,NA,-0.155157232704403
56,6405,24,"OHIO","MEEKISON",-0.191,"",-0.167,"N","D",NA,-0.440157232704402,NA,NA,-0.249157232704402
56,5609,24,"OHIO","LENTZ",-0.355,"",-0.09,"N","D",NA,-0.440157232704402,NA,NA,-0.0851572327044025
56,6969,24,"OHIO","NORTONJ  H.",-0.2,"",-0.194,"N","D",NA,-0.440157232704402,NA,NA,-0.240157232704402
56,6227,24,"OHIO","MCDOWELL",-0.311,"",-0.005,"N","D",NA,-0.440157232704402,NA,NA,-0.129157232704402
56,6120,14,"PENNSYL","MCALEER",-0.185,"",-0.982,"N","D",NA,-0.440157232704402,NA,NA,-0.255157232704402
56,416,14,"PENNSYL","BARBER",-0.209,"",-0.419,"N","D",NA,-0.440157232704402,NA,NA,-0.231157232704402
56,3777,14,"PENNSYL","GREEN",-0.296,"",-0.649,"N","D",NA,-0.440157232704402,NA,NA,-0.144157232704403
56,2360,14,"PENNSYL","DAVENPORT",-0.212,"",-0.348,"N","D",NA,-0.440157232704402,NA,NA,-0.228157232704402
56,8156,14,"PENNSYL","RYAN J  W.",-0.274,"",-0.59,"N","D",NA,-0.440157232704402,NA,NA,-0.166157232704402
56,7508,14,"PENNSYL","POLK",-0.191,"",-0.404,"N","D",NA,-0.440157232704402,NA,NA,-0.249157232704402
56,10466,14,"PENNSYL","ZIEGLER",-0.196,"",-0.069,"N","D",NA,-0.440157232704402,NA,NA,-0.244157232704402
56,3503,14,"PENNSYL","GASTON",-0.236,"",-0.401,"N","D",NA,-0.440157232704402,NA,NA,-0.204157232704403
56,98500,14,"PENNSYL","SIBLEY",0.096,"",-0.033,"N","D",NA,-0.440157232704402,NA,NA,-0.536157232704403
56,3941,14,"PENNSYL","HALL",-0.128,"",-0.465,"N","D",NA,-0.440157232704402,NA,NA,-0.312157232704402
56,2918,48,"SOUTH C","ELLIOTT",-0.593,"",-0.052,"N","D",NA,-0.440157232704402,NA,NA,0.152842767295597
56,9158,48,"SOUTH C","TALBERT",-0.622,"",0.309,"N","D",NA,-0.440157232704402,NA,NA,0.181842767295598
56,5493,48,"SOUTH C","LATIMER",-0.311,"",-0.241,"N","D",NA,-0.440157232704402,NA,NA,-0.129157232704402
56,10251,48,"SOUTH C","WILSON  S.",-0.234,"",0.547,"N","D",NA,-0.440157232704402,NA,NA,-0.206157232704402
56,3153,48,"SOUTH C","FINLEY",-0.432,"",0.249,"N","D",NA,-0.440157232704402,NA,NA,-0.0081572327044025
56,6968,48,"SOUTH C","NORTON  J.",-0.525,"",-0.153,"N","D",NA,-0.440157232704402,NA,NA,0.0848427672955975
56,8970,48,"SOUTH C","STOKES",-0.493,"",0.29,"N","D",NA,-0.440157232704402,NA,NA,0.0528427672955975
56,6618,54,"TENNESS","MOON",-0.371,"",0.674,"N","D",NA,-0.440157232704402,NA,NA,-0.0691572327044025
56,8723,54,"TENNESS","SNODGRASS",-0.494,"",0.105,"N","D",NA,-0.440157232704402,NA,NA,0.0538427672955975
56,7877,54,"TENNESS","RICHARDSON",-0.797,"L",0.093,"Y","D",NA,-0.440157232704402,NA,NA,0.356842767295598
56,3425,54,"TENNESS","GAINES",-0.445,"",0.423,"N","D",NA,-0.440157232704402,NA,NA,0.00484276729559752
56,2117,54,"TENNESS","COX",-0.418,"",0.465,"N","D",NA,-0.440157232704402,NA,NA,-0.0221572327044025
56,8537,54,"TENNESS","SIMS",-0.676,"",0.37,"N","D",NA,-0.440157232704402,NA,NA,0.235842767295598
56,7439,54,"TENNESS","PIERCE",-0.479,"",0.553,"N","D",NA,-0.440157232704402,NA,NA,0.0388427672955975
56,1513,54,"TENNESS","CARMACK",-0.479,"",0.048,"N","D",NA,-0.440157232704402,NA,NA,0.0388427672955975
56,396,49,"TEXAS","BALL",-0.939,"",0.282,"N","D",NA,-0.440157232704402,NA,NA,0.498842767295597
56,2055,49,"TEXAS","COOPER  S.B",-0.704,"",0.027,"N","D",NA,-0.440157232704402,NA,NA,0.263842767295597
56,2467,49,"TEXAS","DEGRAFFENRE",-0.802,"",0.384,"N","D",NA,-0.440157232704402,NA,NA,0.361842767295598
56,8445,49,"TEXAS","SHEPPARD",-0.419,"",0.226,"N","D",NA,-0.440157232704402,NA,NA,-0.0211572327044025
56,347,49,"TEXAS","BAILEY  J.W",-0.97,"",0.241,"N","D",NA,-0.440157232704402,NA,NA,0.529842767295597
56,1270,49,"TEXAS","BURKE  R.E.",-0.386,"",0.212,"N","D",NA,-0.440157232704402,NA,NA,-0.0541572327044025
56,4341,49,"TEXAS","HENRY  R.L.",-0.583,"",0.612,"N","D",NA,-0.440157232704402,NA,NA,0.142842767295597
56,5460,49,"TEXAS","LANHAM",-0.504,"",0.412,"N","D",NA,-0.440157232704402,NA,NA,0.0638427672955975
56,1281,49,"TEXAS","BURLESON",-0.821,"",0.572,"N","D",NA,-0.440157232704402,NA,NA,0.380842767295597
56,5315,49,"TEXAS","KLEBERG",-0.576,"",0.561,"N","D",NA,-0.440157232704402,NA,NA,0.135842767295597
56,8570,49,"TEXAS","SLAYDEN",-0.658,"",0.753,"N","D",NA,-0.440157232704402,NA,NA,0.217842767295598
56,8889,49,"TEXAS","STEPHENS",-0.669,"",0.579,"N","D",NA,-0.440157232704402,NA,NA,0.228842767295598
56,5274,67,"UTAH","KING",-0.882,"",0.394,"N","D",NA,-0.440157232704402,NA,NA,0.441842767295598
56,5067,40,"VIRGINI","JONES  W.A.",-0.418,"",0.413,"N","D",NA,-0.440157232704402,NA,NA,-0.0221572327044025
56,5419,40,"VIRGINI","LAMB",-0.281,"",-0.036,"N","D",NA,-0.440157232704402,NA,NA,-0.159157232704402
56,5486,40,"VIRGINI","LASSITER",-0.562,"",-0.779,"N","D",NA,-0.440157232704402,NA,NA,0.121842767295598
56,9106,40,"VIRGINI","SWANSON",-0.414,"",-0.724,"N","D",NA,-0.440157232704402,NA,NA,-0.0261572327044025
56,7107,40,"VIRGINI","OTEY",-0.311,"",-0.517,"N","D",NA,-0.440157232704402,NA,NA,-0.129157232704402
56,4225,40,"VIRGINI","HAY",-0.312,"",-0.372,"N","D",NA,-0.440157232704402,NA,NA,-0.128157232704402
56,7931,40,"VIRGINI","RIXEY",-0.389,"",0.225,"N","D",NA,-0.440157232704402,NA,NA,-0.0511572327044025
56,7840,40,"VIRGINI","RHEAW  F.",-0.343,"",-0.148,"N","D",NA,-0.440157232704402,NA,NA,-0.0971572327044025
56,7666,40,"VIRGINI","QVARLES",-0.565,"",0.72,"N","D",NA,-0.440157232704402,NA,NA,0.124842767295597
56,5002,56,"WEST VI","JOHNSTON",-0.321,"",0.107,"N","D",NA,-0.440157232704402,NA,NA,-0.119157232704402
57,9209,41,"ALABAMA","TAYLOR  G.",-0.296,"",-0.339,"N","D",-0.324,-0.410619047619048,0.0295381850853549,-0.440157232704402,-0.114619047619048
57,10111,41,"ALABAMA","WILEY  A.A.",-0.392,"",-0.511,"N","D",NA,-0.410619047619048,0.0295381850853549,-0.440157232704402,-0.0186190476190476
57,1821,41,"ALABAMA","CLAYTON  H.",-0.526,"",-0.057,"N","D",-0.589,-0.410619047619048,0.0295381850853549,-0.440157232704402,0.115380952380952
57,909,41,"ALABAMA","BOWIE  S.",-0.42,"",-0.541,"N","D",NA,-0.410619047619048,0.0295381850853549,-0.440157232704402,0.00938095238095238
57,9318,41,"ALABAMA","THOMPSON",-0.386,"",-0.312,"N","D",NA,-0.410619047619048,0.0295381850853549,-0.440157232704402,-0.0246190476190476
57,403,41,"ALABAMA","BANKHEAD",-0.369,"",-0.491,"N","D",-0.336,-0.410619047619048,0.0295381850853549,-0.440157232704402,-0.0416190476190476
57,1291,41,"ALABAMA","BURNETT  J.",-0.579,"",-0.416,"N","D",-0.521,-0.410619047619048,0.0295381850853549,-0.440157232704402,0.168380952380952
57,7882,41,"ALABAMA","RICHARDSON",-0.417,"",0.019,"N","D",-0.54,-0.410619047619048,0.0295381850853549,-0.440157232704402,0.00638095238095238
57,9560,41,"ALABAMA","UNDERWOOD",-0.482,"",-0.251,"N","D",-0.765,-0.410619047619048,0.0295381850853549,-0.440157232704402,0.0713809523809524
57,6202,42,"ARKANSA","MCCULLOCH",-0.4,"",0.03,"N","D",-0.8,-0.410619047619048,0.0295381850853549,-0.440157232704402,-0.0106190476190476
57,5702,42,"ARKANSA","LITTLE  J.",-0.663,"",0.339,"N","D",-0.585,-0.410619047619048,0.0295381850853549,-0.440157232704402,0.252380952380952
57,6379,42,"ARKANSA","MCRAE  T.C.",-0.58,"",0.147,"N","D",-0.464,-0.410619047619048,0.0295381850853549,-0.440157232704402,0.169380952380952
57,7807,42,"ARKANSA","REID",-0.619,"",-0.068,"N","D",NA,-0.410619047619048,0.0295381850853549,-0.440157232704402,0.208380952380952
57,2608,42,"ARKANSA","DINSMORE",-0.504,"",0.084,"N","D",-0.681,-0.410619047619048,0.0295381850853549,-0.440157232704402,0.0933809523809524
57,1164,42,"ARKANSA","BRUNDIDGE",-0.592,"",0.346,"N","D",-0.513,-0.410619047619048,0.0295381850853549,-0.440157232704402,0.181380952380952
57,8765,43,"FLORIDA","SPARKMAN",-0.496,"",-0.485,"N","D",-0.395,-0.410619047619048,0.0295381850853549,-0.440157232704402,0.0853809523809524
57,2408,43,"FLORIDA","DAVIS  R.W.",-0.42,"",-0.294,"N","D",-0.429,-0.410619047619048,0.0295381850853549,-0.440157232704402,0.00938095238095238
57,5620,44,"GEORGIA","LESTER  R.",-0.494,"",-0.502,"N","D",-0.887,-0.410619047619048,0.0295381850853549,-0.440157232704402,0.0833809523809524
57,3832,44,"GEORGIA","GRIGGS  J.",-0.543,"",-0.206,"N","D",-0.635,-0.410619047619048,0.0295381850853549,-0.440157232704402,0.132380952380952
57,5638,44,"GEORGIA","LEWIS  E.B.",-0.544,"",-0.128,"N","D",-0.793,-0.410619047619048,0.0295381850853549,-0.440157232704402,0.133380952380952
57,44,44,"GEORGIA","ADAMSON  W.",-0.431,"",-0.362,"N","D",-0.724,-0.410619047619048,0.0295381850853549,-0.440157232704402,0.0203809523809524
