"cong","icpsr","statecode","state","name","ideo","role","x2","leader","party","last_ideo","cong_ideo_mean","party_del","last_cong_ideo_mean","ideo_dif"
56,3794,3,"MASSACH","GREENE  W.S",0.432,"",-0.239,"N","R",NA,0.459685863874346,NA,NA,0.0276858638743456
56,2070,23,"MICHIGA","CORLISS",0.476,"",-0.015,"N","R",NA,0.459685863874346,NA,NA,-0.0163141361256544
56,8630,23,"MICHIGA","SMITH  H.C.",0.216,"",0.449,"N","R",NA,0.459685863874346,NA,NA,0.243685863874346
56,3472,23,"MICHIGA","GARDNER  W.",0.532,"",0.234,"N","R",NA,0.459685863874346,NA,NA,-0.0723141361256545
56,3989,23,"MICHIGA","HAMILTON",0.396,"",0.228,"N","R",NA,0.459685863874346,NA,NA,0.0636858638743455
56,8698,23,"MICHIGA","SMITH  W.A.",0.451,"",0.227,"N","R",NA,0.459685863874346,NA,NA,0.00868586387434556
56,8683,23,"MICHIGA","SMITH  S.W.",0.374,"",0.255,"N","R",NA,0.459685863874346,NA,NA,0.0856858638743456
56,9908,23,"MICHIGA","WEEKS",0.55,"",0.642,"N","R",NA,0.459685863874346,NA,NA,-0.0903141361256545
56,3275,23,"MICHIGA","FORDNEY",0.643,"",0.766,"N","R",NA,0.459685863874346,NA,NA,-0.183314136125654
56,734,23,"MICHIGA","BISHOP",0.489,"",0.872,"N","R",NA,0.459685863874346,NA,NA,-0.0293141361256544
56,2224,23,"MICHIGA","CRUMP",0.461,"",0.238,"N","R",NA,0.459685863874346,NA,NA,-0.00131413612565445
56,6439,23,"MICHIGA","MESICK",0.39,"",0.304,"N","R",NA,0.459685863874346,NA,NA,0.0696858638743456
56,8431,23,"MICHIGA","SHELDEN",0.484,"",0.011,"N","R",NA,0.459685863874346,NA,NA,-0.0243141361256544
56,9194,33,"MINNESO","TAWNEY",0.303,"W",0.064,"Y","R",NA,0.459685863874346,NA,NA,0.156685863874346
56,6145,33,"MINNESO","MCCLEARY",0.586,"",0.349,"N","R",NA,0.459685863874346,NA,NA,-0.126314136125654
56,4272,33,"MINNESO","HEATWOLE",0.216,"",-0.244,"N","R",NA,0.459685863874346,NA,NA,0.243685863874346
56,8908,33,"MINNESO","STEVENS",0.553,"",0.552,"N","R",NA,0.459685863874346,NA,NA,-0.0933141361256545
56,3218,33,"MINNESO","FLETCHER",0.295,"",-0.167,"N","R",NA,0.459685863874346,NA,NA,0.164685863874346
56,6713,33,"MINNESO","MORRIS",0.4,"",-0.159,"N","R",NA,0.459685863874346,NA,NA,0.0596858638743455
56,2839,33,"MINNESO","EDDY",0.509,"",0.418,"N","R",NA,0.459685863874346,NA,NA,-0.0493141361256544
56,482,34,"MISSOUR","BARTHOLDT",0.356,"",-0.713,"N","R",NA,0.459685863874346,NA,NA,0.103685863874346
56,5079,34,"MISSOUR","JOY",0.374,"",-0.63,"N","R",NA,0.459685863874346,NA,NA,0.0856858638743456
56,7280,34,"MISSOUR","PEARCE",0.495,"",-0.688,"N","R",NA,0.459685863874346,NA,NA,-0.0353141361256544
