"cong","icpsr","statecode","district","state","name","ideo","x2","role","leader","party","cong_ideo_mean","party_del","last_cong_ideo_mean","ideo_dif","last_ideo"
67,6181,21,0,"ILLINOI","MCCORMICK",0.279,0.021,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.135384615384615,0.413
67,9875,22,0,"INDIANA","WATSON  J.",0.574,0.123,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.159615384615385,0.516
67,6887,22,0,"INDIANA","NEW  H.S.",0.537,0.052,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.122615384615385,0.583
67,2252,31,0,"IOWA","CUMMINS  A.",0.166,-0.053,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.248384615384615,0.222
67,5198,31,0,"IOWA","KENYON  W.",0.077,0.347,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.337384615384615,0.077
67,7747,31,0,"IOWA","RAWSON  C.",0.294,0.249,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.120384615384615,NA
67,1070,31,0,"IOWA","BROOKHART",0.01,0.847,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.404384615384615,NA
67,2269,32,0,"KANSAS","CURTIS  C.",0.436,0.11,"W","Y","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.0216153846153846,0.27
67,1494,32,0,"KANSAS","CAPPER  A.",0.198,0.412,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.216384615384615,0.118
67,2983,51,0,"KENTUCK","ERNST  R.P.",0.512,0.002,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.0976153846153846,NA
67,3113,2,0,"MAINE","FERNALD  B.",0.526,-0.022,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.111615384615385,0.576
67,3919,2,0,"MAINE","HALE  F.",0.5,-0.175,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.0856153846153846,0.326
67,3332,52,0,"MARYLAN","FRANCE  J.",0.423,0.906,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.00861538461538458,0.43
67,9936,52,0,"MARYLAN","WELLER  O.",0.532,0.24,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.117615384615385,NA
67,5738,3,0,"MASSACH","LODGE  H.C.",0.422,-0.214,"L","Y","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.00761538461538458,0.632
67,9434,23,0,"MICHIGA","TOWNSEND",0.271,0.086,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.143384615384615,0.2
67,6890,23,0,"MICHIGA","NEWBERRY",0.385,-0.207,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.0293846153846154,0.698
67,2095,23,0,"MICHIGA","COUZENS  J.",0.297,0.682,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.117384615384615,NA
67,6870,33,0,"MINNESO","NELSON  K.",0.225,-0.207,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.189384615384615,0.153
67,5143,33,0,"MINNESO","KELLOGG  F.",0.177,-0.139,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.237384615384615,0.282
67,8790,34,0,"MISSOUR","SPENCER  S.",0.365,0.036,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.0493846153846154,0.211
67,6960,35,0,"NEBRASK","NORRIS  G.",0.009,0.365,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.405384615384615,0.011
67,7023,65,0,"NEVADA","ODDIE  T.L.",0.609,0.533,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.194615384615385,NA
67,6750,4,0,"NEW HAM","MOSES  G.H.",0.356,-0.4,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.0583846153846154,0.622
67,5227,4,0,"NEW HAM","KEYES  H.W.",0.438,-0.334,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.0236153846153846,0.261
67,3363,12,0,"NEW JER","FRELINGHUYS",0.486,-0.241,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.0716153846153846,0.634
67,2844,12,0,"NEW JER","EDGE  W.E.",0.512,-0.497,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.0976153846153846,0.488
67,1312,66,0,"NEW MEX","BURSUM  H.",0.656,0.752,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.241615384615385,NA
67,1399,13,0,"NEW YOR","CALDER  W.",0.64,-0.355,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.225615384615385,0.632
67,9705,13,0,"NEW YOR","WADSWORTH",0.415,-0.442,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.000615384615384573,0.69
67,6208,36,0,"NORTH D","MCCUMBER",0.368,-0.179,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.0463846153846154,0.256
67,5393,36,0,"NORTH D","LADD  E.F.",0.211,0.441,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.203384615384615,NA
67,10203,24,0,"OHIO","WILLIS  F.",0.325,0.29,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.0893846153846154,0.531
67,4092,53,0,"OKLAHOM","HARRELD  J.",0.477,0.564,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.0626153846153846,NA
67,8834,72,0,"OREGON","STANFIELD",0.443,0.65,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.0286153846153846,NA
67,6367,72,0,"OREGON","MCNARY  C.",0.387,0.731,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.0273846153846154,0.059
67,5347,14,0,"PENNSYL","KNOX  P.C.",0.757,0.036,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.342615384615385,0.75
67,7332,14,0,"PENNSYL","PENROSE  B.",0.443,-0.228,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.0286153846153846,0.809
67,7782,14,0,"PENNSYL","REED  D.A.",0.526,-0.376,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.111615384615385,NA
67,7334,14,0,"PENNSYL","PEPPER  G.",0.538,-0.298,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.123615384615385,NA
67,1957,5,0,"RHODE I","COLT  L.B.",0.455,-0.224,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.0406153846153846,0.251
67,6954,37,0,"SOUTH D","NORBECK  P.",0.286,0.704,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.128384615384615,NA
67,8902,37,0,"SOUTH D","STERLING",0.281,0.039,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.133384615384615,0.202
67,8713,67,0,"UTAH","SMOOT  R.",0.465,-0.284,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.0506153846153846,0.293
67,2597,6,0,"VERMONT","DILLINGHAM",0.541,-0.36,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.126615384615385,0.532
67,7152,6,0,"VERMONT","PAGE  C.S.",0.41,-0.181,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.00438461538461543,0.526
67,7502,73,0,"WASHING","POINDEXTER",0.597,0.548,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.182615384615385,0.435
67,5065,73,0,"WASHING","JONES  W.L.",0.259,0.289,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.155384615384615,0.248
67,2898,56,0,"WEST VI","ELKINS  D.",0.494,0.201,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.0796153846153846,0.646
67,9093,56,0,"WEST VI","SUTHERLAND",0.338,0.049,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.0763846153846154,0.416
67,5401,25,0,"WISCONS","LAFOLLETTE",-0.204,0.534,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.618384615384615,-0.082
67,5607,25,0,"WISCONS","LENROOT  I.",0.2,0.039,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,0.214384615384615,0.106
67,9842,68,0,"WYOMING","WARREN  F.",0.502,-0.139,"","N","R",0.414384615384615,0.00736500754147817,0.407019607843137,-0.0876153846153846,0.647
68,1436,61,0,"ARIZONA","CAMERON  R.",0.423,0.27,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.0252181818181818,0.735
68,8487,71,0,"CALIFOR","SHORTRIDGE",0.353,0.15,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.0447818181818182,0.723
68,4962,71,0,"CALIFOR","JOHNSON  H.",0.125,0.636,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.272781818181818,0.282
68,7422,62,0,"COLORAD","PHIPPS  L.",0.543,-0.146,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.145218181818182,0.578
68,6400,62,0,"COLORAD","MEANS  R.W.",0.451,0.111,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.0532181818181818,NA
68,6335,1,0,"CONNECT","MCLEAN  G.",0.395,-0.154,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.00278181818181816,0.569
68,978,1,0,"CONNECT","BRANDEGEE",0.427,0.037,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.0292181818181818,0.864
68,716,1,0,"CONNECT","BINGHAM  H.",0.486,-0.874,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.0882181818181818,NA
68,395,11,0,"DELAWAR","BALL  L.H.",0.543,-0.17,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.145218181818182,0.56
68,3676,63,0,"IDAHO","GOODING  F.",0.358,0.591,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.0397818181818182,0.478
68,858,63,0,"IDAHO","BORAH  W.E.",0.212,0.347,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.185781818181818,-0.016
68,6313,21,0,"ILLINOI","MCKINLEY",0.444,0.248,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.0462181818181818,0.497
68,6181,21,0,"ILLINOI","MCCORMICK",0.336,0.009,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.0617818181818182,0.279
68,9875,22,0,"INDIANA","WATSON  J.",0.591,0.033,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,-0.193218181818182,0.574
68,2252,31,0,"IOWA","CUMMINS  A.",0.38,0.389,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.0177818181818182,0.166
68,1070,31,0,"IOWA","BROOKHART",0.056,0.901,"","N","R",0.397781818181818,-0.0166027972027972,0.414384615384615,0.341781818181818,0.01
