cong,icpsr,statecode,district,state,party,name,ideo,x2,loglike,nvotes,classerrs,gmp,role,power,leader
66,5065,73,0,WASHING,200,JONES  W.L.,0.248,0.175,-88.19122,355,39,0.78,,,
66,9093,56,0,WEST VI,200,SUTHERLAND,0.416,0.137,-77.17715,334,36,0.794,,,
66,2898,56,0,WEST VI,200,ELKINS  D.,0.646,0.087,-55.92321,295,23,0.827,,,
66,5607,25,0,WISCONS,200,LENROOT  I,0.106,-0.043,-88.57032,351,41,0.777,,,
66,5401,25,0,WISCONS,200,LAFOLLETTE,-0.082,0.974,-46.44838,297,15,0.855,,,
66,9842,68,0,WYOMING,200,WARREN  F.E,0.647,-0.257,-50.27853,313,22,0.852,,,
66,5172,68,0,WYOMING,100,KENDRICK  J,-0.25,-0.599,-95.34508,301,48,0.729,,,
67,4280,41,0,ALABAMA,100,HEFLIN  J.,-0.414,-0.568,-79.64697,633,37,0.882,,,
67,9560,41,0,ALABAMA,100,UNDERWOOD,-0.207,-0.978,-104.8232,483,41,0.805,L,,
67,1436,61,0,ARIZONA,200,CAMERON  R.,0.735,0.516,-89.47807,519,49,0.842,,,
67,273,61,0,ARIZONA,100,ASHURST  H.,-0.23,-0.217,-156.74765,589,70,0.766,,,
67,1498,42,0,ARKANSA,100,CARAWAY  T.,-0.357,-0.592,-54.60529,465,17,0.889,,,
67,7986,42,0,ARKANSA,100,ROBINSON,-0.336,-0.675,-62.34563,413,28,0.86,,,
67,8487,71,0,CALIFOR,200,SHORTRIDGE,0.723,0.598,-70.55599,586,38,0.887,,,
67,4962,71,0,CALIFOR,200,JOHNSON  H.,0.282,0.959,-153.61586,403,86,0.683,,,
67,7422,62,0,COLORAD,200,PHIPPS  L.,0.578,0.137,-87.38746,626,46,0.87,,,
67,6926,62,0,COLORAD,200,NICHOLSON,0.578,0.656,-94.38215,560,41,0.845,,,
67,978,1,0,CONNECT,200,BRANDEGEE,0.864,-0.108,-99.73936,546,25,0.833,,,
67,6335,1,0,CONNECT,200,MCLEAN  G.,0.569,-0.255,-49.81008,535,21,0.911,,,
67,395,11,0,DELAWAR,200,BALL  L.H.,0.56,-0.07,-42.03464,516,12,0.922,,,
67,10304,11,0,DELAWAR,100,WOLCOTT  J.,-0.218,-0.948,-11.3071,44,5,0.773,,,
67,2782,11,0,DELAWAR,200,DUPONT  T.,0.661,0.046,-16.88799,160,8,0.9,,,
67,529,11,0,DELAWAR,100,BAYARD  T.,-0.249,-0.897,-19.60999,56,8,0.705,,,
67,9456,43,0,FLORIDA,100,TRAMMELL,-0.253,-0.552,-103.80744,462,49,0.799,,,
67,3216,43,0,FLORIDA,100,FLETCHER,-0.222,-0.701,-128.60194,524,56,0.782,,,
67,4120,44,0,GEORGIA,100,HARRIS  W.,-0.391,-0.619,-85.36054,572,34,0.861,,,
67,9877,44,0,GEORGIA,100,WATSON  T.,-0.262,-0.152,-92.68231,375,42,0.781,,,
67,3536,44,0,GEORGIA,100,GEORGE  W.,-0.329,-0.761,-17.47394,74,7,0.79,,,
67,858,63,0,IDAHO,200,BORAH  W.E.,-0.016,0.416,-187.79828,458,84,0.664,,,
67,3676,63,0,IDAHO,200,GOODING  F.,0.478,0.655,-114.65611,630,54,0.834,,,
67,6313,21,0,ILLINOI,200,MCKINLEY,0.497,0.158,-55.3781,526,22,0.9,,,
67,6181,21,0,ILLINOI,200,MCCORMICK,0.279,0.021,-91.54193,431,45,0.809,,,
67,9875,22,0,INDIANA,200,WATSON  J.,0.574,0.123,-68.74046,565,29,0.885,,,
67,6887,22,0,INDIANA,200,NEW  H.S.,0.537,0.052,-82.85229,535,40,0.857,,,
67,2252,31,0,IOWA,200,CUMMINS  A.,0.166,-0.053,-159.00247,418,79,0.684,,,
67,5198,31,0,IOWA,200,KENYON  W.,0.077,0.347,-43.18159,175,19,0.781,,,
67,7747,31,0,IOWA,200,RAWSON  C.,0.294,0.249,-65.60481,306,27,0.807,,,
67,1070,31,0,IOWA,200,BROOKHART,0.01,0.847,-9.98894,57,5,0.839,,,
67,2269,32,0,KANSAS,200,CURTIS  C.,0.436,0.11,-94.08485,711,35,0.876,W,,
67,1494,32,0,KANSAS,200,CAPPER  A.,0.198,0.412,-177.18933,712,65,0.78,,,
67,8838,51,0,KENTUCK,100,STANLEY  A.,-0.419,-0.896,-96.67645,488,49,0.82,,,
67,2983,51,0,KENTUCK,200,ERNST  R.P.,0.512,0.002,-76.74036,528,41,0.865,,,
67,7734,45,0,LOUISIA,100,RANSDELL,-0.047,-0.706,-181.62323,432,83,0.657,,,
67,1091,45,0,LOUISIA,100,BROUSSARD,0.058,-0.463,-335.26254,554,172,0.546,,,
67,3113,2,0,MAINE,200,FERNALD  B.,0.526,-0.022,-52.01791,351,24,0.862,,,
67,3919,2,0,MAINE,200,HALE  F.,0.5,-0.175,-72.57155,638,34,0.892,,,
67,3332,52,0,MARYLAN,200,FRANCE  J.,0.423,0.906,-247.89862,466,124,0.587,,,
67,9936,52,0,MARYLAN,200,WELLER  O.,0.532,0.24,-45.56251,284,21,0.852,,,
67,9782,3,0,MASSACH,100,WALSH  D.I.,-0.227,-0.285,-152.33949,566,82,0.764,,,
67,5738,3,0,MASSACH,200,LODGE  H.C.,0.422,-0.214,-80.65683,618,35,0.878,L,,
67,9434,23,0,MICHIGA,200,TOWNSEND,0.271,0.086,-136.06903,558,60,0.784,,,
67,6890,23,0,MICHIGA,200,NEWBERRY,0.385,-0.207,-79.18342,467,32,0.844,,,
67,2095,23,0,MICHIGA,200,COUZENS  J.,0.297,0.682,-21.98336,46,9,0.62,,,
67,6870,33,0,MINNESO,200,NELSON  K.,0.225,-0.207,-139.0867,478,69,0.748,,,
67,5143,33,0,MINNESO,200,KELLOGG  F.,0.177,-0.139,-152.63145,547,65,0.757,,,
67,4126,46,0,MISSISS,100,HARRISON,-0.423,-0.673,-61.34124,555,20,0.895,,,
67,10165,46,0,MISSISS,100,WILLIAMS,-0.172,-0.985,-96.46298,301,41,0.726,,,
67,7786,34,0,MISSOUR,100,REED  J.A.,-0.291,-0.112,-84.02833,332,38,0.776,,,
67,8790,34,0,MISSOUR,200,SPENCER  S.,0.365,0.036,-88.53401,528,32,0.846,,,
67,9788,64,0,MONTANA,100,WALSH  T.J.,-0.255,-0.535,-101.91002,474,42,0.807,,,
67,6837,64,0,MONTANA,100,MYERS  H.L.,-0.198,-0.98,-132.59067,393,63,0.714,,,
67,6960,35,0,NEBRASK,200,NORRIS  G.,0.009,0.365,-111.53268,363,60,0.735,,,
67,4454,35,0,NEBRASK,100,HITCHCOCK,-0.254,-0.561,-88.61694,392,43,0.798,,,
67,7473,65,0,NEVADA,100,PITTMAN  K.,-0.285,-0.515,-71.82384,321,32,0.8,,,
67,7023,65,0,NEVADA,200,ODDIE  T.L.,0.609,0.533,-84.01807,680,35,0.884,,,
67,6750,4,0,NEW HAM,200,MOSES  G.H.,0.356,-0.4,-154.325,566,67,0.761,,,
67,5227,4,0,NEW HAM,200,KEYES  H.W.,0.438,-0.334,-107.28147,618,48,0.841,,,
67,3363,12,0,NEW JER,200,FRELINGHUYS,0.486,-0.241,-77.36768,495,34,0.855,,,
67,2844,12,0,NEW JER,200,EDGE  W.E.,0.512,-0.497,-69.84557,387,24,0.835,,,
67,5023,66,0,NEW MEX,100,JONES  A.A.,-0.17,-0.343,-133.22864,516,67,0.772,,,
67,1312,66,0,NEW MEX,200,BURSUM  H.,0.656,0.752,-106.68015,642,56,0.847,,,
67,1399,13,0,NEW YOR,200,CALDER  W.,0.64,-0.355,-48.87469,503,22,0.907,,,
67,9705,13,0,NEW YOR,200,WADSWORTH,0.415,-0.442,-138.37291,582,60,0.788,,,
67,8514,47,0,NORTH C,100,SIMMONS  F.,-0.362,-0.664,-64.38215,545,23,0.889,,,
67,7120,47,0,NORTH C,100,OVERMAN  L.,-0.368,-0.751,-85.12746,578,36,0.863,,,
67,6208,36,0,NORTH D,200,MCCUMBER,0.368,-0.179,-115.17303,624,51,0.831,,,
67,5393,36,0,NORTH D,200,LADD  E.F.,0.211,0.441,-135.63873,478,66,0.753,,,
67,7516,24,0,OHIO,100,POMERENE,-0.175,-0.847,-148.48647,522,69,0.752,,,
67,10203,24,0,OHIO,200,WILLIS  F.,0.325,0.29,-140.92416,551,64,0.774,,,
67,4092,53,0,OKLAHOM,200,HARRELD  J.,0.477,0.564,-96.82667,437,46,0.801,,,
67,7133,53,0,OKLAHOM,100,OWEN  R.L.,-0.149,-0.59,-22.74546,106,5,0.807,,,
67,8834,72,0,OREGON,200,STANFIELD,0.443,0.65,-78.29138,318,39,0.782,,,
67,6367,72,0,OREGON,200,MCNARY  C.,0.387,0.731,-162.59656,690,76,0.79,,,
67,5347,14,0,PENNSYL,200,KNOX  P.C.,0.757,0.036,-11.39281,61,3,0.83,,,
67,7332,14,0,PENNSYL,200,PENROSE  B.,0.443,-0.228,-11.44978,90,6,0.881,,,
67,7782,14,0,PENNSYL,200,REED  D.A.,0.526,-0.376,-25.82331,127,13,0.816,,,
67,7334,14,0,PENNSYL,200,PEPPER  G.,0.538,-0.298,-70.16512,356,25,0.821,,,
67,1957,5,0,RHODE I,200,COLT  L.B.,0.455,-0.224,-33.44805,349,16,0.909,,,
67,3544,5,0,RHODE I,100,GERRY  P.G.,-0.35,-0.846,-96.91714,362,46,0.765,W,,
67,8613,48,0,SOUTH C,100,SMITH  E.D.,-0.338,-0.784,-68.27531,410,29,0.847,,,
67,2552,48,0,SOUTH C,100,DIAL  N.B.,-0.25,-0.968,-123.90677,541,57,0.795,,,
67,6954,37,0,SOUTH D,200,NORBECK  P.,0.286,0.704,-123.35349,424,41,0.748,,,
67,8902,37,0,SOUTH D,200,STERLING,0.281,0.039,-150.36147,601,68,0.779,,,
67,6293,54,0,TENNESS,100,MCKELLAR,-0.305,-0.65,-98.71461,444,41,0.801,,,
67,8471,54,0,TENNESS,100,SHIELDS  J.,-0.262,-0.531,-84.22688,279,39,0.739,,,
67,2229,49,0,TEXAS,100,CULBERSON,-0.402,-0.647,-32.70635,221,14,0.862,,,
67,8446,49,0,TEXAS,100,SHEPPARD,-0.239,-0.341,-169.87367,722,83,0.79,,,
67,8713,67,0,UTAH,200,SMOOT  R.,0.465,-0.284,-85.04339,640,32,0.876,,,
67,5274,67,0,UTAH,100,KING  W.H.,-0.345,-0.939,-180.40623,435,93,0.661,,,
67,2597,6,0,VERMONT,200,DILLINGHAM,0.541,-0.36,-47.95285,398,18,0.886,,,
67,7152,6,0,VERMONT,200,PAGE  C.S.,0.41,-0.181,-31.83869,300,14,0.899,,,
67,3625,40,0,VIRGINI,100,GLASS  C.,-0.373,-0.928,-90.7875,377,39,0.786,,,
67,9106,40,0,VIRGINI,100,SWANSON  C.,-0.352,-0.744,-80.68677,503,33,0.852,,,
67,7502,73,0,WASHING,200,POINDEXTER,0.597,0.548,-83.78889,460,35,0.833,,,
67,5065,73,0,WASHING,200,JONES  W.L.,0.259,0.289,-210.22253,632,95,0.717,,,
67,2898,56,0,WEST VI,200,ELKINS  D.,0.494,0.201,-32.61057,262,14,0.883,,,
67,9093,56,0,WEST VI,200,SUTHERLAND,0.338,0.049,-132.10898,592,50,0.8,,,
67,5401,25,0,WISCONS,200,LAFOLLETTE,-0.204,0.534,-98.09794,499,46,0.822,,,
67,5607,25,0,WISCONS,200,LENROOT  I.,0.2,0.039,-201.88103,624,100,0.724,,,
67,9842,68,0,WYOMING,200,WARREN  F.,0.502,-0.139,-99.72717,607,45,0.848,,,
67,5172,68,0,WYOMING,100,KENDRICK,0.046,-0.101,-239.40627,557,118,0.651,,,
68,4280,41,0,ALABAMA,100,HEFLIN  J.,-0.441,-0.743,-40.29162,177,19,0.796,,,
68,9560,41,0,ALABAMA,100,UNDERWOOD,-0.326,-0.946,-39.97923,121,20,0.719,,,
