Contest	Contest number	Party number	Endorsement number	Endorser number	Supplemental search	Endorser	Description	State	Region	DATE	Cal quart	Pol quart	Cal dichot	Pol dichot	Endorsee	Nominee	Count	Adjusted count	Weight	Adjusted weight	Pond	Weighted pond	Home state endorsement	Home region endorsement	Another candidate's home state endorsement	Another candidate's home region endorsement	Geography	Weighted geography	Own group endorsement	Another candidate's group endorsement	Group	Weighted group	Endorser's ideology	Ideological distance	Weighted ideological distance	Breadth	Breadth dummy	Weighted breadth																			
1980D	1	1	36	5132	0	Bob Graham	Governor	FL	South	7/9/79	3	1	2	1	Carter	1	1	1	0.8	0.8	1	0.8	0	1	0	0	0.5	0.400	0	0	0.5	0.400	-0.449	0.249	0.199	0.062	1	0.050																			
1980D	1	1	37	5141	0	Brendan Byrne 	Governor	NJ	Northeast	7/9/79	3	1	2	1	Carter	1	1	1	0.8	0.8	1	0.8	0	0	0	0	1	0.800	1	0	0	0.000	0.000	0.200	0.160	0.000	0	0.000																			
1980D	1	1	38	5147	0	Bruce Babbitt	Governor	AZ	West/Southwest	7/9/79	3	1	2	1	Carter	1	1	1	0.8	0.8	1	0.8	0	0	0	1	1	0.800	0	0	0.5	0.400	-1.000	0.800	0.640	0.400	1	0.320																			
1980D	1	1	39	5148	0	Bruce King	Governor	NM	West/Southwest	7/9/79	3	1	2	1	Carter	1	1	1	0.8	0.8	1	0.8	0	0	0	1	1	0.800	1	0	0	0.000	-1.000	0.800	0.640	0.000	0	0.000																			
1980D	1	1	40	798	0	Cliff Finch	Governor	MS	South	7/9/79	3	1	2	1	Carter	1	1	1	0.8	0.8	0	0.0	0	1	0	0	0.5	0.400	0	0	0.5	0.400	-1.000	0.800	0.640	0.200	1	0.160																			
1980D	1	1	41	1135	0	Dixie Lee Ray	Governor	WA	West  	7/9/79	3	1	2	1	Carter	1	1	1	0.8	0.8	0	0.0	0	0	0	1	1	0.800	1	0	0	0.000	-1.000	0.800	0.640	0.000	0	0.000																			
1980D	1	1	42	5267	0	Ed Herschler	Governor	WV	Midwest	7/9/79	3	1	2	1	Carter	1	1	1	0.8	0.8	1	0.8	0	0	0	0	1	0.800	1	0	0	0.000	-1.000	0.800	0.640	0.000	0	0.000																			
1980D	1	1	43	5269	0	Ed King	Governor	MA	Northeast	7/9/79	3	1	2	1	Carter	1	1	1	0.8	0.8	1	0.8	0	0	1	1	1	0.800	0	0	0.5	0.400	-1.000	0.800	0.640	0.400	1	0.320																			
1980D	1	1	44	5282	0	Edwin Edwards 	Governor	LA	South	7/9/79	3	1	2	1	Carter	1	1	1	0.8	0.8	1	0.8	0	1	0	0	0.5	0.400	0	0	0.5	0.400	-0.612	0.412	0.329	0.103	1	0.082																			
1980D	1	1	45	1343	0	Ella Grasso	Governor	CT	Northeast	7/9/79	3	1	2	1	Carter	1	1	1	0.8	0.8	0	0.0	0	0	0	1	1	0.800	0	1	1	0.800	-0.186	0.014	0.011	0.014	1	0.011																			
1980D	1	1	46	1541	0	George Busbee	Governor	GA	South	7/9/79	3	1	2	1	Carter	1	1	1	0.8	0.8	0	0.0	1	1	0	0	0	0.000	0	0	0.5	0.400	-1.000	0.800	0.640	0.000	0	0.000																			
